name,twitter_handle,wallet
CraigBosman,@CryptotraderCB8,0x9898d9053cE8236D9de1153dB3Bd176fa81B4124
SkYwArD,@0xSkYwArD,0xF42f17cd93A9918525cdFDEd24B4730F8e08Fc7c
Vcollective,@DemiGodXII,0x67d72410b3624b4743a5C1989a226A65F9D36A02
Karazaz,@KarazazuN,0x3B9517ACB336647193ddfe7ed095f6D33b7E2905
Wawan,@Wawanpandu81,0x27eff84A6C43464839E2e23d9a2cEECD82092d08
cyclops $FEET,@Winbig0911,0x5EAac85D95AC840d01701C312f7BBE32067f80d5
invest_crypto,@crypto_addict55,0xb7273325488A7715980cd97717Dbde3097483684
Airdrop,@Realairdrop2022,0x55d964899aaef216232dd0b9e102224f08c44abe
§Cooch,@coochm11,0x818E4112D98EFceFE092B0f150eDeE515Ae0Ed77
ximchi || qXp,@xidz99,0x28B83a3dE86e596860f1b60b65A0Fdf4611EB444
Up noRmaL009,@upnormal009,0xE3418eaF2e5DADbEd28c2c81dEB82Ff1619937c7
Morphan,@brainsweeper,0x5c82ccc2011f7309f8d16caf05558971a638ef6a
NonStopNFT,@nft_nonstop,0xc7Cf57c8969570A51792dE094f60AF9bFe95B9d4
NoyzNoiz_noobplayer#8098,@noyznooz,0xc74648d93554274C801F2D7F53FD1839046510CC
Dhairya Shah,@Dhairya80037642,0xD3aB04A7AbDB3e79362fe4d56750ED65310Ef3E5
adan,@adams4070,0x0c493a9a69Deb4Ce3cdB6795d469Db64979C10c3  
bUMMi4711,@bUMMi4711,0x56cF6B71eE701BBD53083FD9EB0f97808C1894CA
Taofeeq,@phykey01,0x5bAB131187FE410768eB7a12abeaB9DeB4b3C124
Kedrick Parker,@KedrickParker7,0x7313E237eb05d0F909C1FCBd482Fe419Bddcd3CF
JayMac,@Real_Jay_Mac,0x2F5D6a2207C7435d8325e3dF14Ae46D0106C9791
Keithxrp,@Keith72854975,0x56c48217E237fC4df0369A6c3EcFF983Cb20E438
AI DROP | NGTL,@grilstw,0x3a4243E17dbA110957a8E49B02a5a75699a96012
My Vlog,@zee83shan83,0x38202fB250cB7De50da0AD6E1104029a1B605e69
Flakey,@SldMySoulForSOL,0x13cD6680c6a02C68e57625A0b88D840315f81b40
image ((0l0)),@unique___010,0xa0349AE615e7ba9631Ffe759e0143087CB72b0b0
Bobo's Crypto,@crypto_bobo,0xFa1fbDa52B446680C02F072Ef2178BF387B45821
erlzstudionft,@erlzstudio_nft,0xEf108776196cDdaacB7A18e9Cf36320d362A3763
SectionTimberLake{SBONK),@Iamcody92,0x7253051aa4BeA705fE8C0FF4Db8886b69A765F10
Dr. chopper,@GaigengP,0x6d736bA871fc3b62DA2A7d37114d25C71662e544
Nelly Chi,@Dinmanellyy,0x5639B68b10D19FbAf291dFfdEc2234A507C3D98F
Chiak (青い空を飛ぶ花びら) ID | Slebew,@PoHHell161201,0x87FBDd824cD87484C479ecaBAb47A96C419dEd89
James Cinese,@JCinese,0x285c2b5147b3fAC81482072096eb3A0D0a8e054A
D1ggy420 Gaming,@D1ggles420,0x95e0Ffb7be48443c2b8C80d38462906e967D951e
Nami,@ChwaanNami,0x14371540303aEB4D7fA2924B1F1A5f69475ef933
Charles Benzo,@cdbenzo,0x67dc89eB32769939F4957245249DD7Db120237C6
francoisperrin,@francoispignon0,0x2758d4f495d6ab52eba7db5dbca1cf2fc5b9e3c3
styfunsunil.bnb,@StyfunSunil,0x1ADFd2585BE0f3614804B3f22acb3B5Fe30Dd5EC
Oneshot901,@Oneshot9012,0xBE2D5aC129037F2d291344B7349EF7C6D38D8bdd
Acidraw,@AcidrawNFT,0x7223E6b268faaCC027e104AD61590F62ECa336Dc
Muh farhan,@Muhfarh55983438,0xc19221A58CBDea4FfD173A7557945Fa02F581C55
yo,@samoodx,0x69E5fC3e550a128b4753A0F9251BC3FC49c0cD69
Aravind Trader,@Aravind10248524,0xbCade6F9Ec626893626B9b4d3095cd6980a11AD1 best community project biggest building project
Ivanm88511,@IvanM885,0xF557e7E16653C48d5586DA1eF8e4B3CE7136F5bA
André,@ndrewithe_a,0x933Ab296d6555B75576ea38fB68ce2Ff793A7c47
Arry,@Arryrafttar,0x1e30c36888591f5cD6Ee0c682eF35c38A3FF3945
Tyler Logan,@Triptonyte,0x28De7026C27DC73630e4906d49E74bFbc9fe323C
Ari tomie,@yususf06509743,0x11c239b51410a841cC781bf835dDAF8B20ed3a94
Heritage,@AdetolaniH,0x2b9123B9c8cEEe021B5de9649527116AFda3fF44
Radha krishna,@radhakrishna852,0x908Fd2B29920D9047E4000429819C1a677CDd4fF
Grosiran JAKET - 's ((())),@darus0888,0xF67e63aF69786F7417F85559FAD7bab5452d4c03
Rodrigo Benavente,@redrigo7_,0x754B1f995F1B6Bf52195f938879b0ffc15E3C094
Saji Wick,@SajiWick,0x73Bc65c979883ff62d8b267D1Dd6edce9bcB134b
"Kingsfan427.bnb | (, )",@kingsfan42700,0xA1732dBdBca60CF43349e293d4e0B36044f71B96
yuegou,@zhanlingyue,0x2c823B20e8d2a2B008e6f6C6a250974D07eeC066
Dappp123,@dappp123,0x6E1eC1bb2137680490118134647c21C66458af67
"Cyrille (,)",@cyri_lle,0x3955dB26e48f99fc5Fb30C94D8dC231E0aF12673
Krzysztof Misiaczyk,@michuAZ13,0x43d92fB2607bD4d06Db2f3B1C19bAC64145ba77A
KIRTI MADDHESHIYA,@KIRTIMADDHESHI1,0x78E42eABf564753380dc2c6b1ba7D9CB95fFE024
KriptiK,@KriptiKNZ,0x0A706A0532165C2Bb4AE6dB815A0cAbF0b0dbe90
Yanğ (◠ ◠),@Yangsolana,0x4D8495Ed157FB4c0549846905df0D7e6b24B02e9
nostoryboss | RYOSHIMOTOxyz,@nostoryboss,0x8F4CBFF7B882fFD1C97717cab305d09ff9577ae9
priyans21102361.nft #Infinityswapper,@Priyans21102361,0x5D577bb9bC94c5408e24De45b779e411b0aA41BF
"JDeFii (,)",@JDeFii,0xe81CCa9370EBD4312AC19811AeD06F7714b3ADE1
Draxxx28100,@draxxx28100,0xFf1EE0933784f8f30e972f92f15c88994ceE7794
Graham Rossell,@Adap2flow,0x9B7b40c04Ee991BF8D8d404633FdEcceC1A3BD0b
Wokmen(SHFT),@Chimaysagita,0x9bd340726237c3e8c445ABf6d3C00C2F97becF3A
Ahmed,@Ahmedibo111,0xeDD9E912299aD850c98c6eD8c03Da341D7542e26
Turek.icp,@Manthnus_ic,0x81d7e83cACb6a94C68116c5feab6e34EAbb82ee0
L GAT $SBONK,@LGopentech,0x5b2bD7bde31770272155D79c9C700290a5c69051
Aamir {4.44%},@AamirQu28262175,0x64181eebcC64fC96D5C618c29d38c549CB85f579
"l@ngt3 c0d0n | crp868668.bnb (,)",@lngt3c0d0n,0x2Dc914baB95Bf8e8e936Df196Eb895Ee132B6b0C
Okpanachi Peters Obaje (B.Sc.),@ObajeGodsMight,0x19eaA5318234501F3816d6cb2148984f0448DDD3
Sevi,@Sevulysib,0x4101CEaD68cACaf5D687813EAdD877a0018000fb
ogRabbit,@OffGridRabbit,0x9473c3212921873CBc7D47569D7dec86A2476677
arthur,@arthurhintz3,0x4F04923Ba2FfeB672aF11B3ed2b46741746946B6
Jorge,@JorgeBTC_,0x24ba2Eb5A4AfA93D3c889dcDBBA5cd455B8705E4
Megan Matzen,@Paintergirl444,0xE27dD4ddCf018AD3702804265A76d34eFAB56b92
sky.25,@franco93661726,0xf3d50BfFd2CFde1A3bFdDD041d94c5e6F39a3B2a
KAMLESH KUMAR,@KAMLESH93440332,0x17B24B1dc7024798B232d99411Daa7A443819219
Taufik,@Taufikayee96,0x95c48e01D2C071f91Aab3142943b728cDE690804
keks Dunk ,@imans12pp,0x8308e1Cac9fbd88aD21309Eb87798a4eDD59168f
Gldysh,@Gladysh_06,0x65c72d535DA4f2AEB4F0a6acfA232810824967b5
dee lay,@deelay40526268,0x80606Bfc38bC73f1881aA04772B28d5Bb22d8f12
tofaş.bnb,@Oguz211690,0x7446B433Ef38688C6Cf29D47594CA9f5d0e75eC4
Laskidi,@Laskidi_eth,0x4Fc25932daa0f9c88143b9000071ec7bB7bB94d3
Laguna,@Lagunam3ti,0xe3aEEc2C98eA6d3Dcd24048c7D60d2EF66F40766
Sandi,@sandi11221,0x60846958d7d4FaaE01be434e9D21370e05F60181
krishan kasyap,@Krishankasyap7,0x0d7cac0b906f83d245570cb7b22d0ae6c6e4abf3
Cary Dare,@no4sonsf,0x4AEd44D07ca1876d2760CcF8D66016c3fC3904b7
Maul,@CryptoLearn3,0x89C5fAF1999b869b125Ca870a2e143344bf21d56
Mr GAFO,@GafoBasti,0xbb375cf6F07D6d7e1596c819bEfC8265005A1763
Predators Gear Supplement Shop in Worcester,@atibell,0x807a89970d72B4EA408BE0d4C8C8Af7900886Bb2
zhangzhang,@zhangzh49116952,0x54085FB28CF3a61f4ACa20B38d8D33d67DD18628
EryFebryan,@ery_febryan8,0x6B720F93f5603161E2521bF6E311327eEA57e52C
FajarICHIitanqonita2401 | AAYC,@fajarichi240111,0x4beFBb564cA358aF943daa32fB38DB77A86C4Ecf
sUiLite Mu,@g0Mbr3t,0xb39E150C0000d902E5aA8e7cFC2C36485a0292D3
Abe Bram,@AbeBram4,0x8dF16699beD5689F47B859485652F09C4d04fb39
stardam,@stardam6,0xBEEa7CA2DF5FAe5C09F9AaE8647A869867B04c4a
Crypto Jenny O,@zee_row_ex,0x82d0Ca2EDf47355Fd1A3E65B59105ce70C192B21
Brock James,@brockybroccoli,0x7C62C7F12adE2608339f5B7d63f974Ec67e91496
utom eggs,@utom_eggs,0x7Dcc4023b3B232AC4cA299f6Ed5C014B9E24BE23
M@$To!,@Mastoi1988,0xE9C18994DF1E84bA84fcCD7bcf37CD1a1d2F1998
Aldo Alexandro,@AldoAlexandro5,0x40BD62dCD91f17D180212dF7DCB203900d580622
Grittizen,@Pixelape3,0xe39658928Df50C9f5312A3c0ef8EEA1CD5bbD207
moody2022,@moody20228,0x2DDCd6E3608d7fA8bc2F9260319C08D9FFFA300C
Sochain,@Sopyanh48831551,0xbf488D460CbF7F8Bc87D8FD79e39Eb4C454843bB
AldiGalaxy,@AldiGalaxy4,0x0A706762EbEeE195bC47FFad74386144607fC478
Kavithaka Jayanila | KBZ |,@Kavi_Jay2,0x7bfe3f7b6873cF92FFF47749Cc6c804884E5B86E
Adebayo Afolabi,@Adebayo4211,0x7f2eecc896c74b0839fd1dbd176d027f88e5093a
OCHUKS,@Ochukoosijaye1,0x02AD044162c5a4B52720016D61B9116985f7190B
"motonori(,).L2 .lens.stark",@motonor13788388,0xe6d3474310Ff037f3788A233a7526eEEED93397a
Ibikunle Felix Sanmi / GM/ $SBONK / $FEET,@IbikunleFelixSa,0x2E62482Cbb0cAfB30CCf4b478c38713C540Dd12E
Naim sheikh,@Naimsheikh870,0xd7004f9a88d4fe2ec23260743cb10b74c6c19ff9
StarPunk_Club//$HEIST,@StarPunk_Club,0x64B45dE76Ee8458386dc3d8d70248cbcAD020C56
thegoat23.find,@jason6044,0x69ba53a01c24774b5f867915ecf4e16f7515cacc
tura,@tura_turatina,0xe45B7c8Fe3A0A481bE2adfAbC56b0f53212b43AC
aminb99@outlook.com,@L8hme,0xa1b5921883afe2a370789fe495ea1355f60ddc7a
loicvals,@Jokal974,0xb49D578281F1812930B99E0a04B47202bE9883DA
FERNANDO PEREZ,@FERNAND56790569,0x169ACdFfD8374221C43b6fB4605ab97382005d70
DEMON HUNTER,@FIAAULIYAA,0xCb11bB5166A5e856aE2103242560B393b1D50692
Mike.eth,@mike44065054,0x9467f7BCD886b58451C376d7d85F80b183fa8856
Damilola,@DamilolaStrings,0x13ce55A96a8E4e4Aa9f34a619e27AF8b557C6689
Alderrr,@Alderrr6,0xA7C1255B53024CfC8d93dc23FD78751488f853F1 done 
Jose,@Jose111122RPTL,0x57A6d01e92D183a21b65BB0002A06250996FB136
Amruddin khudbuddin Shaikh,@Amruddinkhudbu2,0x361b1b0d8397d5FdaF8C3D31b762b67EB6dA783e
Raditya245.NFT,@Raditya2451,0x69022a1823Dc5CB8311A275589D7f579BAD46F14
Lucky Ewere,@Ewere7Lucky,0x5615DD3FeB7B37E0759b21944E7541ae78643dA4
Farhaan khan,@Farhaankhan891,0x23204c27a4959fb01be7b9edc9b90348a571abaa
Lucky Ewere,@Ewere7Lucky,0x5Dfd73E28eAB2B8eaB5c06Bfe6755bCCCe582c77
NOTFORPAY,@CRAXY002,0xcC57bD7EdE341f7a5B5666c2ae85ED15e7c27912
GEM WORLD ! GM | LEGEND,@memeawinner_23,0xBca89Cb572d8500df7eBA49DF1acaf0be5034ab6
A.D.,@air_drop_me,0xb134B13b9Ff092a281691866C49CA27d0130f16D
"Nebz (,) (,) (L3, )(",@Jeshapot123,0xBA359c153ad11aa17c3122b05A4DB8B46bb3191B
Blanca Pelo HEIST,@PeloBlanca,0x0bC6797D11048a4588B4Ae650Bc713a53Fb17eef
Miracleax,@miracleax99,0x8c1527BcEB23b86d7acC044Ac062b276CC63Caba
luis centeno,@luiscenteno1964,0x037C80Ffb77fC6E4cFd5939C9a6db8f50A7a0FF1
Zhul17.core,@Zhul171,0x332466722db627571Ea3C56bE2448bb1066b0f33
Ogundokun Taofeek,@TKDIron,0x38Dabf3bCe302712b0a013d2DB75c169B6BE325b
Aka Game,@4k4g4m3,0x3F630Ccc2fecb1c1F55896Ac6590756Fc4Ab1ead
