name,twitter_handle,wallet
★GAKU★,@GAKU38455165,0x939F49719e001318082469580F9BD6b83B48c37a
ProbablyGod.ETH,@ProbablyGod_ETH,0x599cE737428a6D19b0967255DF4fCB89618F096F
cryptonerd.nft,@EllensohnStefan,0xD15436a5C7Af2dEBe578FD47Defc5D88bfa172C5
Pacheco,@PacheckDisTweet,0x93EfDe1404F5dC343a29A6593723De81A2C0c3F8 
Vinnie,@VinnieETH,0x106320bfafd0390E98e9D9A9cE5Ed29b09046c97
The Doroughs,@dorough_family,0x0e608c1c018F2d39Ab29104d6D7221db5c9441E4
Abim Rizki,@AbimRizki3,0x07AD778f92d712ddCBAf83699dFf7e3b4E3aAAf4
B3W_3,@3BW_3,0x4eb299d2d06e6b9d9d3bD9be8Eeb5fdBC0c4A475
justF,@fprdnr,0x9d57C131E2919F8d10FBD903c36451ceb4566d9A
Ahmed Faysal,@AhmedFa37434863,0xd71df6676ddb2e6fe854a68612dde5a9c536064f
ekselans,@endorfinhiphop9,0xD1254b3060cf0cb33F12557bCA918720bACA824C
Karl Zed,@karl_zed7,0x646FB6b56d9CfA689a0d185FEe3F8beb9C70B34D
Seref Batuhan Gocmen,@batuhangocmenn,0xbc0054143C9c3D3f3a4ADcaa45283E831105a4cc
Asheeq Gangat,@gangat_asheeq,0xe96eed3c13c1795ca39ba9e70ed1109086083c5c
Del Hathaway,@DelHathaway2,0x8186947CB2532F4Ca0398D1130ac490A2978df5C
Dargombes1,@Aherjiyanto,0xf28bBD3b380dAD183967b8E45cC4622ad481393A
Yash Patil,@YashPat08338412,0xcA13Be7468b8f8B06E86036deae3fe5f515ec6d4
HelloMars,@HelloBTCs,0xFf334e9D073B026bb1729161a2702C33487C721D
Adeola Ayobami,@AdeolaAyobami16,0x96ce0B00d6F4fa4dC0cBE8A414A70B12F7Cc9a7c
riaz hussain,@riazhus06797435,0xae2EDA7B4cC26BdDFB293a0DFd59ADc102E412be
2910,@Sugeng2910,0x716438ea91F96eA1646e257B1CAC3B385c7d8305
Данилочка @StreetGang_NFT,@0oo__oo00,0x007D9a0e8607Ec48D22A9dC732E441f5aF121079
Nurma win,@Dz_berkah,0x2379881120290837541853d01B254F8D8a519c3c
Idumejulem Ifeanyichukwu,@IdumejulemI,0xE45f463EdF24935A09324d0ad20816951AE7be34
Mohammad Afghan Hamidullah Khan,@Mohamma03016085,0xA44707d87C91B4B91DD6a77996DeDcB72cb0c47C
Arkadiusz Benedykt,@abenedykt,0xeB06c17E0aF3ec1D9C596e72401CFDBe4fb8162c
Maddison,@jrnmaddison,0xCc48f2Fd947555e9Ead39a13A35b10bF7700B056
