name,twitter_handle,wallet
NFTCZ.Nft,@SarkarBisw,0x208Df3643E6f80eeEf06574B7dE68c44867633a0
Avery Kendrick,@avery_kendrick7,0x18B64ce778863fbF4B0b138509F78958E1b5509E
ENRYU,@smbzd_,0x4C1558140349D16af1d26FE88f46C5725Ed3738e
Whiteday,@conseildede,0x8802AB3a526f7B504caB3cadF5F5004E3758a852
ABK,@abk1265,0x043692128B690D68b5C30Ad4A8e35f5d8f119530
Global India,@GlobalI78060950,0xc8fB3a4E217D08B32922BFc03416087AB7F91eC0
Jugujugule,@Jugujugule2,0x0575ccd413f3df6fc412eeaaebacdf4995400fc6
satya swaroop,@satyasw16637218,0x3eD83292B0221f0886B2dAc933932bC028598AE9
Dee_p,@adee_Andreas,0x8Dd7CDb0B2F0b4AF2376008214E141eC80935AF7
Alfredo Higuera,@AlfredoHiguer17,0x69e32F0f023ff6C5b963755a1162267d5cD25941
amrich,@AmrichJimi,0x30154562b81788b2a4FD126682795A49A02CCaE1
algo,@lgo47706244,0xfa83dd551ffd28b69a273a2613ce0fccb8c4cc3e
vitalik vlasov,@kerbinator1995,0xA4aAd8Ca424e8010aC66d0c0C92696e8D3142A82
AspiringWhale (0%) 《TYP-R》,@Aspiring_Whale,0xDa23154DdfD66B16230e46a2662edC622dd9366E 
Fearielle,@fearielle,0xcBEE986FCeC8dA239DC9926621240d073e781535
Jimmy Hexdrix.pls,@Lr4James,0x92F7aa8085E3FE0D9949D6FB8DF556498099e5f8
Ayansenz Evollian Senja,@Ayansenz,0xAf3E1bb12D1E4aD88bD03E66dFc8Ce3dcDd96354
Jamuel Corpz,@jamzzcropzz,0xd78DBE392AC54C84C7DfA6366B5E277a40C1Fe84
CMGeaneas1,@CMGeaneas1,0x892620e7f2Cf3f80eA5FF4B574beCEC6Eb47C1b8
T-BAR-N,@Bar87115576T,0xfbFbcEa3C52D50182DbA6043823cc85eA011BEbD 
Wan699,@wan6992_wan699,0xb2fdce9970c08edc1bca6baf1842698d206fdf40
STAYWITHME,@BLOOMINGSWM,0x1a967c3f141Aae1C06B16Ee05F893e73032F3900
Shiva Rahane,@ShivaRahane,0x2bDE5BCe62C6234b501a0D7434F7bF018CDE42CE
Peter P,@tigerpops69,0x9b010392aafb779e4e7e2b5da5e11582e1695b73   thank you
NinjaCrypto,@CryptoNinjisto,0x6995eA9FE491779A032074e4CB372Af08A74cfe4
Dr Nandlal,@DrNandlal7,0x7d65f86EEF3a1cb88eb8D4e35DB61e29b70499c0
0xbigwindec,@0xbigwinrnyeah,0xbigwindec
0xbigwindec,@0xbigwinrnyeah,0xd042fbF3FCf331e6E3ad5bABBcDCaC1753D06C51
Joel,@Joeleutik,0x92132Ef5Fec911591b2a8056ad869d0a0e6104D9
Sorin R,@SorinR5,0x93E638b2e1a499e99fbB493A2Dd063873cb139Bf
Vishu vc,@Vishuvc2,0x5514446dC04e4aFAA16e608d42BCA3a2f92f6003
Shuga,@Shuga93298798,0x5F4C6FfD09c1Bc2428B28406B49E63B185eEf908
Sherroz Musulmonov,@SherrozM,0xB5e9084920cBE09f594EDeE49bCf9F5d4Ecde8a6
Md Zahidul,@MdZahidul221,0x1CbBC678a6514B6a0F001bA7f7B623f7E27347Be
Alex Ebenezer,@AlexEbenezer5,0x77D61706293996D46973AF5D3010F5832bE504D4
Arturo Soria,@lasr79,0x6cfd549c87Fba2A3d296A7ef586b4C9Bf91522A8
Witch King,@witchkinq1,0x236C89a945BA19dA08D4c5fE307e2293B4b5b8Ea
Arunpandiyan B,@0xarunpandiyanb,0x2CC06d7e04abE807575bDd16809348066a0d75f5
Gungde,@GungdeBud,0x6bb5b6fc63a671ca78667da2b269c1625c795606
ADAolu,@Adaolu68,0xa78D24dDE126D7faa5C19Ea0Cd2d3770b5FA874B
DK,@dwiKuncoro,0xa868c4A013692cf22d6A1B10ccC919a8189bb9d6
"vousmevoyez.eth(, )",@haru_artemis,0x0F133919B60bDF696B0ebFA625Ee7B16d92C17e6
Андрей Михеев,@MsiY2fJAJ6UIup5,0x667BdbFA51e9f862C0AE040d568b494Ac24B8248
Yosef,@Yosefsyf,0xa6e05803478adf158e384c381f80c8e4fe29c269
Maniek,@Maniek2284,0x6d91267fAB7F77d884A098a2E44B5c87F3244b8E
