name,twitter_handle,wallet
Shake369,@Shake9169,0x528f7B16e3d29603f675B2737947f650c7c9f629
The Crypto Knight,@A_Crypto_Knight,0x53B34551a10540556f1540424BBD4EBF819cb74a
Nafiu Ahmed,@Nafiuahmed7,0xf7fd41859a0a6C99cE67C8e0a3223186739b3c51
Shuvo,@ShamimA01296036,0xEbdce3EE7D0A5b083d182c7a61d5065aD42e5921
Dennis Díaz Chacón,@DennisDiazch,0xf5daf4aa3d542ece94376fadba1aad24943a9cb3
Aleksandr,@Aleksan40948431,0x9fa64bcb67e9c1efee9c1eca8a71013b308e583a
Ali kalkan,@Adfgy88ut5g88,0xEba7F72634ECdA41b3766d7bDEcc698e15ADF231
Poorya Bahramii,@PBahramii,0x8BD9bDeC83D35d2367A287EF6515f0C524BB2437
jason kuo,@InaloesgKu,0x8d89fD8747615fe6327094896CC14D0E2B82bF3F
Chiranjib Pamda,@PamdaChiranjib,0x18ac0555bd3ea6cae3d0b616b6d105fd85cf35c4
Hari dass,@Haridas56639597,0x4304cD191a9ca85CFA4c769BBCc11279a5aD2aDe
mansur,@mansur089789671,0x1345b70cc80dfd5d257e7cc1b593f9317eeb26f4
BP GM,@BP49145920,0x9eEFb0dcCDF44c535f41E43C2e51d5CaF669104d
Md Masum Billah,@Masumb35050,0xbaC49c3517fE64fA85c09286f972b7Ec40c44acb
MetaFora,@BLOCX,0x314D72a73CfDFe234D47A64433fA7294D4aB2b0D
Cocomii,@Cocomii21,0x8d0f48418bbe58c8d41ea570d5ad71fea67f2a9a
Carlos Renteria,@CarlosR77502847,0x4dFce8C1651F7DF3F4c691f05d6fD3AD64557Bb3
Tariq Rahim,@tariqmarwat89,0x6c76907169d144e9b5c3b7e4e78c003363afce9d
Coin,@Coin8011,0xD2681Ee13BbB8Ef122AD9FF28fc9bD5feDfd70c5
ajeng_400,@Ajeng_400,0xCB280b9D68701d942259C7Da19DAE9DE6aD43460
Олексій,@wassa_515,0x2c7ff126e284f42081f3bf4956bbddedf37e77a5
Munaverse,@Racaverse87,0x34b54a7056BFb93A6Bd770bc14849067C8EC8Ced
Md. Rakib Hasan,@Rakib0142,0x3B75Dc8931417c88f4BC27E9dD40DAF9e077362A
Rich Crypto,@RichCrypto0601,0xF3b1098F2acAee66397d4431B31B37297FD06a27
K69,@K69NFT,0xF9b4FB8cC0325De4aDF6C5a10e22689Be7e5E5bD
Marmae,@Marmae06180496,0xa84f58aFc201Bc17914645164ecc4B4fDaAa7916
Ismanto Sulaiman,@IsmantoAxl,0x4BA2Ca742E73452e66330b99127573dD0B268Ff2
shahzade anwar,@shahzadeanwar1,0x66f811b2E8De325ff38F199936091367c208b608
Lãm Vũ Đức,@vuduclamjr,0xF7D08b0c463b9DFB57Cb0ee30d2803030b47BC43
Biro Teknik,@TeknikBiro,0x6029c378cc49cc4f48c2b21b942937c6b5f4dcf7
MD ASHIK AHMED,@MRASHIK106,0xca1d8758dae4f52b196d06cf54faab7e8c76d83a
Erdi Rahmatullah,@rdhotz,0x3DB39F06aeE17978FcBd5328Ee398BC543DB49a5
Bang Domath,@BacotMath,0xDaD8A377B59Ab6DEA989eC54183aA0A4E6EAb05b
susilawati,@Usie22,0xd6558C7002F5620068531138Eb59eBf87aCE6a68
Muhammad Haneef,@Muhamma07595804,0x6ae072f4aa0d666176ac0bca3bb1027fd535c0b8
diplong88,@diplong881,0x66e5e576e4b84d94ee583b485e72d053191634d3
Santhoshkumarb,@Santhos38292010,0x19343590fddb8cfe13fc2d1aa7bc8ae08a669614
Provat Islam,@ProvatIslam3,0x846956a62f05f6cf8d18d249c625c4412dda3225
Bagas Trista,@BagasT797,0x3d2b59e9A03da8eF454cc051E397D5e4bbc9665a
yoosef,@yoyojooon,0xbE284fCE00FCd132b6ED24dEd7cA22b289Fc06f7
Damir Smiljanic,@newwebsm,0x51653919C5856018A9317B76B2317be8d27Aa69e
Kitimbotimothy,@Kitimbotimothy6,0xdDc56a22B596cC89827AfE8b94a8a7dECD422552
Fadrick Torp,@Fadrick802,0x5afAAfcaA5258C8d5b43D42BB0b68575Ef4239fB
Hiếu,@hieu681368,0x080DD18C01c3337ad760D2B7e4d390eCc68145D1
Mbamara Andrew,@chimeemary,0x410a5425b1a362050d1f4b931b747be1f594d4c1
Muhammad Jamal,@Muhamma13753714,0x9202bb5F13Ec0a804C0380CD2f90E1EDDa3D0B1b (BNB Smart Chain)
اورابية يسمينة,@a_ysmynt,0x6d53c2dBbC344Ff5e6aecAd69d875A0aA759451f
Trieu,@Trieu3011,0x64cbf61b6a792806dedd205beff2e95fc88dfdac
Edwincanencia,@Edwincanencia3,0xc1790e0c1d7474b067D6B8eDbfb2c16FB827bEd8
K GOIH,@Gdrong49,0x3335469bD18c4d9C969690E7782dB9FBdAae986f
Parvez Mahmud,@ParvezM41932119,0x4b097b14938590E35157A9978Ee06E5dbD5f285d
Absia Cian,@CianAbsia,0x0e9163f07d6d0cb50a3dd90d9b3a8d63f0a0e432
iliyas fahad,@FahadIliyas,0x936aB7fbcE7c80cEcB8741B6Ed314019E4cc0ee1
Kazim Qureshi,@KazimQu30031288,0x68701B678c3aDA6De31331db8a08D3b4BD401F00
Ming28,@BolivarJovino,0x60DfFcD3beec5Cbec1c6a4b7fDc87D696e1499A9
Famuyide Abayomi,@Phamuyidey,0xF479459c146Cb86A78Ba27B57ed0664975AD6204
MOZAHIDUR RAHAMAN,@MOZAHIDURRAHAM4,0x90209fB781a8B1955fB56AaCAf1C6d5763d09111
Abel Obed,@abealobed,0x5702beb1B8B8E90793ce0e6c9cC367F6CF03373E
harykanthong1,@harykanthong1,0x4AdAcf86B7766214965f0aB53177b966a7a1ef18
Gana Respati,@respati_gana,0xd6146126dB857Ba8e1C3f99C395928eb8a5A3Dd7
Carel Kotze,@CarelKotze13,0xAa3179574BC8627F55869db57c8a04c78B9161e1
Igban Nathaniel,@IgbanNathaniel,0xbB23eAA18c7e710863C0d7dF3E59DFd589Cba819
Faruk,@jerinfarukjf,0x1717Bc127C72d08783F0F55573332d43B0f899E3
Vlad,@t1311c,0x90d7c987f1b81cdc5138012f0b25f2bdde7ce5a5
