name,twitter_handle,wallet
marcdejesus.eth,@marcdejesus,0x29bC6c8D87D75a1B0D30BAca5088723991fFfe82
Daila.eth,@DailaDotEth,0x08Ce80A9cC681dbC2Cedfa22765F859045C3Ce93
"加密菩提 jiamiputi.lens(,)",@asu549,0xd83256a8BB182e7BE2382550Ed24861C71108d35
Jeremy the Bird apedegennft.eth,@ApeDegenNFT,0x4e848cB280BA065F44e64F923A78a52141033F09
CryptoWilson - Youtuber / 威虎社 WTC Alpha Founder,@cryptowilson_,0x87d63B96ca7695775fddE18ADE27480143F9dfA0
buba viedma,@bubaviedma,0x486752e4C8AB22f5aBb1fEB95abc7ce0a36473dA
猫鲤,@maoli_artist,0xAad48A43C8F43f31148dab1271527f5785Ef6104
neko3,@kasoutuu,0xA7E5a837382C4B2A484BD2AFAdc8B5A5f6d74e87
铭君 |mingjun.eth,@MINGJUNBJ,0xee08fCC849F27cB8Be4AE270c62ccb55eDB6d444
reymark.eth,@reymark_eth,0x62326E7EEE4BaFe0398b868Afc0006DbC43FA883
Cris_W3B,@cris_w3b,0x4C92C77C1b91FC73377270B3ab60285E2C0EB721
𝕞𝕒𝕥𝕥𝕪𝕓𝕠𝕪.eth ✿,@mattyboyeth,0x431973B9593a6F273512008670979d32cE4f756D
Veytsdaman33 ._.,@Thingsnstuff33,0x9ab5A9572Db323C70A94A1B043759B3490f6F51D
𝐁𝐢𝐭𝐰𝐮.𝐞𝐭𝐡,@BTW0205,0x2ef91E77b886D379f370f927d943285547D9b37e
lilili.eth,@dashutiaozi,0xDe9a9425b3CE28f66719eA606B1d1FDda210A94d
iona,@misosoupqueen,0xF7435635534a937c5006234baB5f689072Af8942
🅲🆁🅴🆃🅸🆅🅴,@bapcreative0521,0x99A2B582e5e2C860DC90822B5Fed925a8256a24A
FreedSeed,@FreedSeed_Nut,0xcEe6DfA2A3E48655892D6e3bc57f74aE13883897
UpperTunist,@uppertunist,0x59064b072478f3eb784701212df85dd3c88eecc8
ARTUR,@VauItaI,0x2ab6a645a9c95217486610aef128647dc6711ac5
ol1y.eth,@_ol1y,0x78086Ad810f8F99A0B6c92a9A6c8857d3c665622
"Patricia La (,) (Right-of-Game)",@patricial0987,0xA5A5813c141Ad666f1F70650d6b7d54E1568E05b
MetaMan,@MetaManNFT,0xC764aC23f2dC85ce44Eae6c220383AFDef7D494E
amayadori_NFT |S0U,@amayadori_NFT,0x90Ce57c50AA4900ED7b9F7a27dC2f3fC3fdC0C1D
Statikk,@Statikk_nft,0xf8449403c6a2bd40DbbE0Dd5FbC9B3576a0A7d1C
Seb,@Arcade_Seb,0x38fccc4ed695dab2033f62d3df1ed315fe700610 
varektguy,@varektguy,0x573630C54B70345f1669bCdec3f833910f8930DF
Davies,@JustNFT111,0x355B5eA2605bDf9204a9efC2f4eb0c9EE2162330
zaincute,@zaincute5,0x23919795153d18b683a133c2c327E88dd63Fd737
awefrede_nft Dimensionals,@awefrede_nft,0x0cD313EA9d53834b5f457e251FEc23116cEb589D
ApplesOverVapes (Doda),@Applesovervapes,0x780eeA21C3916c211b4f2B840C4b0724F99Ac28C
"kohchan(,) .lenspre(",@ksk04101,0x8d005CC8c0ff30Ac7e2343351107dE2591E3c59a
"nanaun.nft | HUWA.bnb(,) (, ).lens",@nanauncrypto,0xBC99c4BD93c24Db1Bf553F2c7F9348be639fe5B6
"fuckdog.eth(,)",@DageShenmi,0x208bE48B21338a25C0A7b10088637F4faf27b54c
Awwal muhammed awwal,@Official_Awwal,0xB9cF5601dCF561d544a82578759304338F280c3B
"MrSteve_HC | TCX.lens.bnb(, )(,)",@MrStev3_HC,0xBdfdF9DfBfbf282b258F1BA2F119E3b4564fE8A4
Abdul D Geek,@dondami10,0x718d084203214E4aC0AE3d371d38577a20882B62
Happyluckycharm,@maolynx,0x1175720EF98b9189362432D6984DdCdB2Ff0936c
Mystery men,@Mystery67553784,0xaf819c7d5b9e98afd3b59561a33067a94393e9d2
"r888888.bnb(,)",@GillKennedy20,0xAEae021057cB3736ec7fC28A309dC56a7c5032fA
Viliam Vanek | 0x0o0.bnb,@ViliamVanek,0xD46Fa34680938af10019635465fCE1d52573c82C
Moric Dulla | 1666888.bnb,@DullaMoric,0x095C15BcA48822c881c65db7B36C1Aaa4Ac678D6
Milain | 0x188888.bnb,@FayaluMilain,0x1CB98fa2Badb54f634C0acb82553C9dB62667124
Deaanna | 0x0xo.bnb,@DeaannaGardnerr,0xc2432b8c5741144f697fBb85E37d4E10B310c079
uniif | abc168888.bnb,@uniifp,0x2dc926E56cDea0BA134498DA398bb16BB61AdfD3
poduck | 176123.bnb,@poduck4,0xA32Ad0B762413225cB8dbE580D48EA2FAa6D0D8f
chou joy | 112233.bnb,@choujoy13,0xf8eF323d58626b75e2d9fB9Aaf91cF550E10F535
