name,twitter_handle,wallet
Blanka.eth,@Blankaeth,0xDB3861c06ebC2f170C229C7CD591fcf6076C7963
NFTCZ.Nft,@SarkarBisw,0x208Df3643E6f80eeEf06574B7dE68c44867633a0
Avery Kendrick,@avery_kendrick7,0x18B64ce778863fbF4B0b138509F78958E1b5509E
ENRYU,@smbzd_,0x4C1558140349D16af1d26FE88f46C5725Ed3738e
Whiteday,@conseildede,0x8802AB3a526f7B504caB3cadF5F5004E3758a852
Global India,@GlobalI78060950,0xc8fB3a4E217D08B32922BFc03416087AB7F91eC0
Jugujugule,@Jugujugule2,0x0575ccd413f3df6fc412eeaaebacdf4995400fc6
ABK,@abk1265,0x043692128B690D68b5C30Ad4A8e35f5d8f119530
vitalik vlasov,@kerbinator1995,0xA4aAd8Ca424e8010aC66d0c0C92696e8D3142A82
AspiringWhale (0%) 《TYP-R》,@Aspiring_Whale,0xDa23154DdfD66B16230e46a2662edC622dd9366E 
Fearielle,@fearielle,0xcBEE986FCeC8dA239DC9926621240d073e781535
Dee_p,@adee_Andreas,0x8Dd7CDb0B2F0b4AF2376008214E141eC80935AF7
King_Danny,@KingDan81127443,0xF74f2B12bfc68E67930E83a1a0c519aCaA57afe0
Shivani Patel,@Shivanipatel895,0x56aeA6D72D67efFD80fC472333233B916f072078
amrich,@AmrichJimi,0x30154562b81788b2a4FD126682795A49A02CCaE1
algo,@lgo47706244,0xfa83dd551ffd28b69a273a2613ce0fccb8c4cc3e
Jimmy Hexdrix.pls,@Lr4James,0x92F7aa8085E3FE0D9949D6FB8DF556498099e5f8
Ayansenz Evollian Senja,@Ayansenz,0xAf3E1bb12D1E4aD88bD03E66dFc8Ce3dcDd96354
Visith,@Visith81533716,0x2C602A8d98C76E80c70E89d0183E352E8e7BA559
Jamuel Corpz,@jamzzcropzz,0xd78DBE392AC54C84C7DfA6366B5E277a40C1Fe84
CMGeaneas1,@CMGeaneas1,0x892620e7f2Cf3f80eA5FF4B574beCEC6Eb47C1b8
T-BAR-N,@Bar87115576T,0xfbFbcEa3C52D50182DbA6043823cc85eA011BEbD 
Shiva Rahane,@ShivaRahane,0x2bDE5BCe62C6234b501a0D7434F7bF018CDE42CE
Peter P,@tigerpops69,0x9b010392aafb779e4e7e2b5da5e11582e1695b73   thank you
NinjaCrypto,@CryptoNinjisto,0x6995eA9FE491779A032074e4CB372Af08A74cfe4
Dr Nandlal,@DrNandlal7,0x7d65f86EEF3a1cb88eb8D4e35DB61e29b70499c0
Melrose,@vpvert11,0x8b120919573c7e64cf8e28dbd099a14cf7258a8dzrr
0xbigwindec,@0xbigwinrnyeah,0xbigwindec
0xbigwindec,@0xbigwinrnyeah,0xd042fbF3FCf331e6E3ad5bABBcDCaC1753D06C51
Joel,@Joeleutik,0x92132Ef5Fec911591b2a8056ad869d0a0e6104D9
Alfredo Higuera,@AlfredoHiguer17,0x69e32F0f023ff6C5b963755a1162267d5cD25941
Sorin R,@SorinR5,0x93E638b2e1a499e99fbB493A2Dd063873cb139Bf
Vishu vc,@Vishuvc2,0x5514446dC04e4aFAA16e608d42BCA3a2f92f6003
Shuga,@Shuga93298798,0x5F4C6FfD09c1Bc2428B28406B49E63B185eEf908
Sherroz Musulmonov,@SherrozM,0xB5e9084920cBE09f594EDeE49bCf9F5d4Ecde8a6
Alex Ebenezer,@AlexEbenezer5,0x77D61706293996D46973AF5D3010F5832bE504D4
Arturo Soria,@lasr79,0x6cfd549c87Fba2A3d296A7ef586b4C9Bf91522A8
Witch King,@witchkinq1,0x236C89a945BA19dA08D4c5fE307e2293B4b5b8Ea
Arunpandiyan B,@0xarunpandiyanb,0x2CC06d7e04abE807575bDd16809348066a0d75f5
Gungde,@GungdeBud,0x6bb5b6fc63a671ca78667da2b269c1625c795606
ADAolu,@Adaolu68,0xa78D24dDE126D7faa5C19Ea0Cd2d3770b5FA874B
DK,@dwiKuncoro,0xa868c4A013692cf22d6A1B10ccC919a8189bb9d6
"vousmevoyez.eth(, )",@haru_artemis,0x0F133919B60bDF696B0ebFA625Ee7B16d92C17e6
Андрей Михеев,@MsiY2fJAJ6UIup5,0x667BdbFA51e9f862C0AE040d568b494Ac24B8248
Yosef,@Yosefsyf,0xa6e05803478adf158e384c381f80c8e4fe29c269
Open Nft,@OpenNft3,0x7B156eFED8520e913D7B2791457ea20197fA9d64
satya swaroop,@satyasw16637218,0x3eD83292B0221f0886B2dAc933932bC028598AE9
Maniek,@Maniek2284,0x6d91267fAB7F77d884A098a2E44B5c87F3244b8E
⚵ rainbow.stars,@_Cypriot,0x3e7D707Ccf7c6529f04836451cC77b1445A0596B
dBo,@dirkbo401,0x4D30a0800E66EF1EbD80F42E9564F311Bce4f3EA
butterfly,@butterfly4748,0x864B2B5727e4d37feB41386B2A0B32fE0e9b540f
"d3dskell(,)",@d3dskell,0x819135FE6fe2C8A3FA1348A9fA70fee3764a966b
Ronald Young,@RonaldY1971,0x3F532728dc874c04a48445d742d0b7a3670F2173
Jack Burton,@pork_chop_ex310,0xa53c2f68360386692e24519a8f4b00064ad7fd15
Giovane Machado,@GiovaneMchd,0x2a1FFca17b0CD61286f2ef6401D7E0D40D995Aa8
abdoul fataw sawadogo,@abdoulfatawsaw2,0x6cb76903a8166237A0A69ADb7B8F4ED13f57d0ec
Hussain Kanju,@Hussain009111,0x38039BcE1Bfb91963AabfE5F5d8F979993f1c606
Steve S,@spicuzzis,0xfC5ce3D0466833f467C8CA7F38ea745808b5F69a
Mihail,@grurarz22,0xA27b717DD4F5f9c9f7139ec35D6747AB5711C8f6 
Mohamed Smati,@smati_smati11,0x2f4080b7BB8E17876BBbB6f2E3d83FC1937D6274
dio,@diomediodidit,0x1f07f2e4757a155c6052Edf3925a3c8c867770c4
Balaji Kumar DV,@Bhuwankumar2004,0x1139372DE03C695E6681c9836fB5baEF8104d4E4
extreme indian,@indian_extreme,0x435aea22b701e0cCC61674b0c9dc89109D0aBD6c counting
peejay flores,@flores_peejay,0x324f7d7fa6a08a7279bc0fa93ca47967f786e2c0
JosSeLoT Mverso,@jopavaah,0x125A0810355D22D9ff9d21EbaA079A812A8c74F5
Md Zahidul,@MdZahidul221,0x1CbBC678a6514B6a0F001bA7f7B623f7E27347Be
Risto Reipas,@ReipasRisto,0xFd4621474040E6DF34E82088fe0F2FD3b23Da790
Money,@R84267442,0x750178dc8b00fb48c2a96b118e394c7615441dbc
M.A(NFT MANIA),@NftAbbas,0x503ec0aE0B4bDcbFAb64acBcbaFC71106D41a0e1
Elodieger,@Elodieger1,0x6120abd86335070989bBaCa3f76efb550B0366A0
Big win wish me (rohee),@8_Surpriseme101,0x00E20Dec114A4b425f449b5C9c547fCd9FAE65B9
Karylle Villan,@VillanKarylle,0x3F8d2136D22A6c1AE399f2101b6Bf76382AD36cc
Shri Bhagwan Sewda,@ShriSewda,0x0fb5Ce95C0E02EEdD968D6D52fA8AA3aEE318928
Mubatak Lala,@MubatakL,0x532d382A4FCC77c547B12D6C5AAc8f1eDb4b330b
shil fe,@hank0526,0x140dB9d8261E16415181248f5aCC092236722097
Trisha Gosavi,@trishaG7350,0xb287D61439f7B7EB8445D0A633801e8dFF92A305
Alexander Morales,@AlexMorales0721,0xe53384a55374450022974e25a92ac630dd5108bC
Morteza mohamadi,@Morteza7657,0xFa6251930610676131c8Ca86C9Ff45e927eC2fF2
Mark Babista,@BabistaMark,0x1Ac8B08A653FC6CD01523A74cDf02D42f0b0F2CE
Jérémie Dangbedji܁ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@jdangbedji1996,0x0237636ab7d5eaf33ac778c3fca4307b8e055101
Johnson Oluwajinmi Ojo,@OluwajinmiOjo,0x20F6bBFdCFa37dA3Aa8E36ed3D599dFC559D31DC
hosein.zekavati,@hosein08002214,0x4754F64fbC8b2B741aab9eD9ebCDAea06C7304F6
ÖZGÜR KARAHAN,@KaraOzgur20,0x5b5D29dBCf5f3b9d69F6EADD54f4CF45a88fB4D7
True Thoughts,@alig2840,0xE09A6896830b271C585f4b3552ff18b6048a0AFF
Bonesphx,@bonesphx1484,0xD91CAF4857275ecfB7EC8C1dd97f4377045740F1
Anime_cutsnedits,@cutsnedits,0x65C8279A4E1e680a7f703d26C34f81E148aC9373
"小魔瓜 | nimab.bnb (,).lens(L3,",@chenxuji7,0x1D1Cb9402eB5E1978df138625EB30840CEc3c024
Slicebread -,@Slicebread101,0x1a5c178fcbed657555f49d4908c7a0753e7d67f5
Billy got your letter,@tearsricochet15,0x28a91930f9b29109c5734196e780F30222bF8b51
JAVAD,@KARIMIJAVAD07,0x73c2699BE00F5A0c4A67cEFc99bE05818ed450fd
Wells Josiah,@WellsJosiah1,0xc0e19F56Cf7a8D534085B993f68E05C183B8F842
Dave,@sitew33,0x349cd3A9e085C7fFB75291E6a4ef212C3ac4C68a
FELIPE,@SEVESILVA,0x2707da9466C6610A83Ce59B827cC0fe565a9A3f5
金牛,@jiangso76517561,0xdc1c15edeb697360421665ef3abe9329225a1abd
SoLaNaJoNeS,@GabrielPredesc4,0x4089950C1e2BE7317C50ce03cbCD75a3C5b63adB
Rdruis,@Rdruis1,0x67E9c05Ec2d18637178A514298510E1642e00847
Suman Rai,@SumanRa30523365,0x4bde70b17eeec7f3fe8cb8eee2d0b8bb18b8397a
KcMatmat85,@MartzDionisio,0xEdcfbAEe822f8167296518992aaf7b45188252a0
WeeS,@WeeS_09,0x4DBb8ADC50a3c5c24D5E5c778Ba55BF21Ad49D90
N8,@N8tY__,0x299A1Dd4e874A0d38Cc37ce3742bf2D07130a189
Rohit yadav,@Night_king297,0x22a2edba7792675c26f7c40788915a067d9ef273  thank you
Raju Dangol,@Oxw1n_rd,0x3AfBeBCf9ffB91ae216d490FFE068Bf11B2B7d62
CSGYT,@Likith_696,0x56229D525cB1aC5181fBa2DbAe6f11e838358028 i am within 3000 people
vicky rompis,@vicQrompis,0xCE59c281c826A616a004C0b97D6e825C7208aF80
GrypRyte_thaGhost,@schiffer_james,0x3A15177147F89441beb914aAeAc83a8ed55AE6c2
Sedat Kan,@SedatKan34,0x262C2904723087a89E95f39F430D3Ba5Be339B82
Kamlesh Khamkar,@kamlkham,0x17e4005c2837b2ca03117dde0e83d0e64326b2ab
Jonathan Keller,@Jonkell998,0x1d09e6E76952a4ddcE800F3564406EE137e67138
Arman,@Arman36211217,0xE737def95f4c9B431671428443e41047E45717c9
Michael Glosker,@MGlosker,0x1cf7a26de65dd3fe007a4a374da73c2322b2f80b
TOGOFEYA BASSABARET,@togofeya,0x448fE332B7Ce18e4B5f49ce919d627e656652ED0
Zahard {422}{Ck},@zahard00,0xf42b98d37b7fe71d6f4BD44648E46B040e577FBd
Reπi A O,@Remiplus,0x86A03f5293Ae8E023A5f8dcD0A72172AdbB81F02
Aco | Death Row,@Aco_DeathRow,0xBf5020550031Ac365f2E9F0493b9E695FAA965c2
passion ⚵,@passioncyp,0x299A63D935cBFC8bcDd1135fd1eb66C3Fe47C7CD
cindy.bnb,@AY222HKNCN,0x82521f9113DE470c608e9B0a2bb851da4D318A56
Dammy,@qhingthuth,0x8fF6cc1b66948CCac2c64d6CCe5164D10Df44503
rakesh vemparala,@RakeshVemparala,0x1056a463743B7449533C91f1823BfEe8c2CAC40d
xCrypto,@LE0xCrypto,0x78BaC8Fd5495445C017e80c803572dd361d44c8f
Ares7910,@Ares79101,0xf3dA7117b9906398f8202A2C959864BceA6a6994
jiasuoBI,@BJiasuo,0x42c99E120649168cf80bb70dE2eEB1E6C67Dfa9b
Robin Paymer,@RobinPaymer,0x9232e1c5d809011043cea30ade3b1712bb12c36c
Nash,@Nash87303175,0xf1b8049dfd6ce1eca5a2e32c1bfb9ca8df3539e6
Asad-ur-Rehman,@asad7450,0xfe3e151d17996e94368e204337377e1c08c6c009
Rantu,@Rantu21216811,0xB2eA56F522248246AfcF263CF1D8F431FbC6dF83
Reza Yousefi,@RezaYou90335192,0xa48B3dC1e8695e5Dacc357f995FcAe947e85bde3
R. Shirantha,@shirantha_r,0x178756674db5195397c8432a319c8b7e74c3386b
Ivan Dobrovolskyi,@Dobrovolskyi_I,0x838fE429D41cbE972c1b5A98D93A269472B9c029
Ynnn laboy,@ynnnlaboy123,0x181ABb0d61aa9BbeF3DF9eb20D1db82A3F454C3C
Firdaus Juven MBA,@Bimagroup,0xFEC823A03e97B0FD3E2118A8158e723EF1c47a02
Taiwotope,@Taiwotope111996,0x71D54Dc5bd24fAe44FB841C05c578e72f6e7d6F4
Giorsal,@giorsalpepe,0x158Ab7284062ea65c002D4Ddff6DdC4dB32cF121
Michał Ajmietiew,@tanSheep0,0x749ffb75f7a2e7f7879dbcdca5135eb95151363c
oluwaseun fonwon,@OFonwon,0x4aAf339f66b2e5a0B425B4FC62E789180f336066
Ramlal Gupta,@RamlalG31124904,0xb270041735ea0f9afaf60056181258db99b8ef95
Nad,@PopadanN,0x5573CAb6793CbA8a7f47481b29396a6eaE1DDd1f
Tang,@Tang72816861,0xE34720f1a91A9dE0089B9ca3FD75e2Db323F90cB
Ann Wakky,@AnnWakky,0xEf1b7F2e690146E121F5ED2a2bD0Ab5a5B875E80
snsgrowth.net,@AdilCamelia,0x009041a07BE2BfAC46f23912a11cFf7D00BA6182
Hussain Rameez,@wHOsaiNeRamEez,0xbaa1bf2ffd6d33b6f05d46342cbb70842535b274
Hasitha Chathuranga,@Hasitha_uc,0x2ED7DF32afe45584f79533992E69d2c294d14203
mattxrp,@Mvtt34,0xeDFEd3EC81230D4C30C5634470C614859A1C6F94
chris mckinley,@chrismckinley27,0x5c6d11d5e1b296e91d2d5b40c05931a1f53fb7c9
Lampignon,@Rolzil13,0xEE556789baF4506FBa4a6a7F75F3168b880df81b
Hery Yanto,@Heryshm,0x6dc79f2d18cc3764c1c0808a521d113c9f18aee9
Kamaldeen Imam Hainul Lutfy,@Hainullutfy1,0xf2f39fe4acb6f839df5fdf1e0c48d8dc6eeaec03
Shiva Shiva,@Shivajange,0x6581bF66a63C869111AD787C38724a00740e886B
Antti Alfthan,@valkeakorppi,0xA774a0304fca39BF172437E552B7B638837F7A63
YICHE ADAMOU,@AdamYiche,0x30DBB2969201482dC8aC8EDC3B1d45dA450858E2
Reaper,@reaper_reaperr,0xf3d086bfe374926050372E531De4D503bEf5F62e
parastoo,@pari8211,0x8C15ddE10eDd067E2A19DdD42c692e591E46f464
SheldonCheung,@cheung_hoyu,0xc191ca0D0e2f8919346567D1D20EB084A67D91aD
Udrea Florin Cosmin,@UdreaFlorinCos1,0x64E13d037349D6F2b65b79501E09B97Fc4C3A57D
Olabiyi Guy,@GuyOlabiyi,0x69023d079068A343FC24e34c9CB277E9675a25Df
Swipyy | IndiGG,@soubhikDutta5,0x08319594bFAa20565F88C46C63E3D02B34802ade
chathuranga,@chathura5558,0x41c7F3a94E2afA0fB260E4b8a5de97dDa8Aa7305
zhuqiqi,@zhuqiqi90459188,0x7c5dfca79135092d153ed6b0a0cfede5ad4ddcd1
Tajeem Parveen Ansari,@ParveenTajeem,0xAA781cf08e067Cb2A8D4cc3ee3F303A1e5ad92e3
yuu,@yuyuta332,0x5E0A0EE5bDC2Ef556d3dD0998584174ac2815784
john greene,@johngreeene,0xf13e1517Ec9e254c904e09931D6EF45dE54D1525
Hank,@solhank_,0xa6d21f0A67479Ba43e78e5bCeD5D4d3450ad71c9
888eth.bit,@888eth_bit,0x41dd6dccdacdb44ba91f4c2d7b9cf5e591eb987b
zhezhe,@zhezhe83944272,0x26fd40aA71f14C28CFf31Fd5f2c20832C8D73c47
DanieleGK95,@Danielegk95,0x0090C446C81d8390F2309ed3BaB4503a85AE7F81
Hilarious,@prankrishna92,0xc1bC657c2d76c49D1B73588f95788bf19768ED51
Roczy.eth,@loomfread,0x4bF2106E0b5433A66D60D98b889eCb9cE2b2F6D4
Thanakon Yeunnan,@ThanakonYeunna,0x6409e1b9d62a25f46744d777e319250e8f080d74
Ohai Emmanuel,@OhaiEmmanuel2,0x9E942E255EB809b6413c765FD53fe9FF25415b75
Engineer's Eyes,@EyesEngineer,0x78809b43c35E505f8C966d3ab8234f39C9257BDB
na byeongman,@newfaceda,0x2CEe4E4aB65BC58FaD49E603285F7081C12E1f5d
FAWAZ SAEED BDAI,@CarpetRohingaSA,0xe11e4F92aF8023e6076A44A8c821ffD726983F9e
Thiago (TH),@ThiagoMaicon4,0x48D13D78d1B5327F483a3682251169A179F6499A
Erfan Airdrop,@airdrop_erfan,0xBc65C61c68419eA2A14E07a4C4C5694Ec61288bE
DARK THUNDER,@D38Suraj,0xdff3016562baff53921106b5bd642ed1bffee8c5
the_bloteye,@de_motomech,0xc3849AC8fF8FFa93526C19e03b7c3C96c31Ed6B3
Will Lopes,@iamwilllopezz,0xC3D7E6681D9Cd6b731b9Db1b4CDd1e1cB64409e6
victims,@theguy_de,0x6495D1cf827BCC15ad01DB639aC06b6ed1Bc042E
Mohdz258,@Mohdz2581,0xb039AD155406152de01DF9C70f108f41aE3F6776
Aisa,@Aisa_Aisa29,0x6b28F2A4F560c1EBD0d4Fd9Bed1d3AEd7c0dacd5
ChickoCheese,@Valenciagustin,0xA95F43f6A051131C467961fA2D5c11D506d5Aa8f
Raja Abdullah,@RajaAbd64785027,0x43d332c68efbe6f12a7be718e6cee9710a6bb2e9
spaz,@Xoraspaz,0x571b220846504606275756761D9Fc48Fa467Baf3
Pelangi Malaeka,@PelangiMalaeka,0x78343930ed039aAa9862E4459f71b789A87aEa53
mr Responsive,@akalesss,0x09df0b2d7194805bC671F3e4570e1C40a2Fc36C0
RASEN V,@rasenbee,0x0950e6a954DDA617d7408546000d58F41C996eC7
Zorax,@TuffinNick,0x3F99f446260ECBf20C4C59948F97CBe8A81e84f3
Adreed1989,@adreednft5,0x3185827C488b2fea1a1885071cFABeA6CdbfdbbA
RicGva,@RicGva,0x60245e8bd21026AA8010D461CfDFe8B284938AC8
John Lecky,@leckyj30,0x2d717087Ea866E1d4B3D51A29679aaA4486F47EA
Crisdan mendoza,@crisdan_mendoza,0x462bcb65fcdc5aca26e2e7624ff9b1fa074f6831
D͓̽e͓̽n͓̽z͓̽a͓̽l͓̽,@aarronfurber,0xc0ceEc52c99915D2AD5c4247E5B1A082483e8f25
Daniel Bakinde,@DanielBakinde,0x68374d45a5f72e98F4E29c704812EC46a3Cc540a
Jorge Liendo,@JorgeLiendo7,0x143404E0734C99c44aB3b057C15887ce14671749
Biswajyoti Deka,@BiswajyotiDek10,0xd64e4a6e6fa82e2d674b0a846ecb861e4301940a
امیرحسین,@abolfaz0919,0xabd04Ec2dFE5f0e38e4F5Bc4799CceFdC9DEE0Cc
Rachelle Fraide,@rachellefraide,0x9a401F9ad6328f3cD0be9E6F7B8012d4ED74c698
SEYHAN ÖZÇAKIR,@SEYHANOZCAKIR,0x1E89E8b0dd412BF83dA3BC03694E5656923Ffb38
GhosTツ,@GhosT0TsohG,0xea0ef1febb5edd086f632ff26e4eb79385b19177
Edudle,@MataliEdu,0x385c478CCeeb4857109Cd21AAFD744dCB037249e
raja kavi,@drark2015,0xf996C57608aF8a9f9b85Ed2cb0c00df08713AaF8
Ramyab,@Ramyabyegane86,0xFE0526Ee87Cd25f8eF2E6b83d1B105BcC11f446a
